ID,q1,q3,V0,c0,T0
235,5.028760592,4.534006465,0.0005,0.005134644,0.051945279
236,6.09037291,6.286807285,0.0005,0.005103874,0.040203998
237,0.399110159,2.908067548,0.0005,0.005439537,0.16110825
238,6.035477765,0.103392294,0.0005,0.00520413,0.07794919
239,4.476998711,5.771791791,0.0005,0.005126079,0.048691277
240,8.121307409,3.121327699,0.0005,0.005113271,0.043804816
241,3.322009723,5.177503309,0.0005,0.005153092,0.058917575
242,8.955410392,9.164894472,0.0005,0.005070886,0.027457932
243,5.883104758,4.270483137,0.0005,0.005126353,0.048795394
244,2.042160521,2.481486406,0.0005,0.005294021,0.110576634
245,7.93180611,3.719224675,0.0005,0.005109496,0.04235998
246,6.216382089,9.319292555,0.0005,0.00508292,0.032126815
247,0.773367313,9.369315129,0.0005,0.00512991,0.050147984
248,4.345510651,8.444856186,0.0005,0.00510112,0.039146248
249,6.870158564,9.202863078,0.0005,0.005080067,0.031022094
250,9.206173918,2.286723897,0.0005,0.005110423,0.042714848
