ID,q1,q3,V0,c0,T0
1,0.575066385,6.491604177,0.00275,0.007377665,0.641807681
2,0.986042397,9.887774169,0.00275,0.005867892,0.293060387
3,0.010154978,8.734604761,0.00275,0.006390675,0.432470005
4,0.419661773,9.919338041,0.00275,0.005967795,0.321589086
5,0.208854784,9.002464915,0.00275,0.006203209,0.385181197
6,0.135119143,9.599912449,0.00275,0.006095851,0.356790001
7,0.262383287,8.868358684,0.00275,0.006214914,0.388217255
8,0.478236085,8.796045921,0.00275,0.006150276,0.371306624
9,0.54762142,7.548477452,0.00275,0.006476407,0.453183901
10,0.740098701,8.34669726,0.00275,0.006156731,0.373011425
11,0.578010143,9.12051119,0.00275,0.006057242,0.346333682
12,0.938475,9.340216899,0.00275,0.005942226,0.314379036
13,0.287033567,9.332652047,0.00275,0.006101801,0.358389735
14,1.199852428,8.267531793,0.00275,0.006040785,0.341835956
15,0.047110292,9.71271193,0.00275,0.006100875,0.358140778
16,0.918485997,6.893553471,0.00275,0.006467003,0.450938773
17,0.575449576,8.844170119,0.00275,0.006108961,0.360310435
18,0.767026818,7.756432058,0.00275,0.006285355,0.406249859
19,0.20022483,8.454243291,0.00275,0.00637026,0.427455349
20,0.278428263,8.40776232,0.00275,0.006339621,0.419868626
21,1.095011902,6.85372714,0.00275,0.006378957,0.429595613
22,1.321998076,5.548743893,0.00275,0.006686286,0.501651314
23,0.43469094,8.821296443,0.00275,0.00615995,0.373860295
24,0.948099748,7.32734453,0.00275,0.006317696,0.414394495
25,1.197510597,9.849994426,0.00275,0.005840188,0.284976486
26,1.222195393,8.11361607,0.00275,0.00606006,0.347101247
27,0.125235226,8.146363908,0.00275,0.006566937,0.474470066
28,0.062919378,8.762439532,0.00275,0.006346082,0.421474533
29,0.240120857,8.290375497,0.00275,0.006404475,0.435841691
30,1.199886394,8.838869637,0.00275,0.005957777,0.318771688
31,0.14326033,9.717041438,0.00275,0.00607056,0.349955381
32,0.580602415,9.66097412,0.00275,0.005970703,0.322405326
33,1.307943915,7.840653261,0.00275,0.00608349,0.353456628
34,0.732440966,7.097012196,0.00275,0.006519833,0.463468474
35,0.947496091,6.494536158,0.00275,0.00659975,0.482041105
36,0.437524866,9.546509531,0.00275,0.006021347,0.336491958
37,0.940211338,7.797823027,0.00275,0.006205378,0.385744533
38,1.140920924,8.920537609,0.00275,0.00595848,0.318969733
39,0.034780685,9.106613811,0.00275,0.00625225,0.397825831
40,1.026448368,8.670688646,0.00275,0.006018959,0.335833142
41,1.349910494,6.715108155,0.00275,0.006298627,0.409602349
42,1.023767275,8.861056703,0.00275,0.005991077,0.328100906
43,0.390002664,8.707960319,0.00275,0.006202856,0.385089491
44,1.079476458,7.225837658,0.00275,0.006285834,0.406371214
45,0.149871627,8.439198026,0.00275,0.006409129,0.436975568
46,0.616897412,6.616725976,0.00275,0.006944956,0.557356036
47,1.241150323,6.292464666,0.00275,0.006470363,0.45174162
48,0.407848275,7.197630363,0.00275,0.006833774,0.533929647
49,0.399936666,9.948047754,0.00275,0.005967865,0.321608943
50,0.186189204,7.981821111,0.00275,0.006594089,0.480740248
51,0.036242301,9.606162711,0.00275,0.006127021,0.365135557
52,0.9298247,9.421559731,0.00275,0.005933265,0.311837336
53,0.296756893,9.143101126,0.00275,0.006137839,0.368012104
54,0.369816722,8.733115041,0.00275,0.006204762,0.385584587
55,0.676083479,6.806481691,0.00275,0.006712082,0.507399336
56,0.082306449,8.823717524,0.00275,0.006314125,0.413499352
57,0.787931514,7.281193741,0.00275,0.006415457,0.438514597
58,0.208817771,8.044390471,0.00275,0.006536555,0.467392244
59,0.808511218,8.281234727,0.00275,0.006147652,0.370612688
60,0.958175209,6.749053449,0.00275,0.006492314,0.456967253
61,0.148663536,9.801519001,0.00275,0.006053327,0.345266022
62,0.57104742,9.683879705,0.00275,0.005969438,0.322050439
63,0.950914825,6.507730885,0.00275,0.006591363,0.480113028
64,0.571214468,6.889222617,0.00275,0.006800123,0.526688275
65,0.077687125,8.228540019,0.00275,0.006572042,0.475652862
66,0.736141645,8.003703168,0.00275,0.006235642,0.393565833
67,0.90944424,8.763715236,0.00275,0.006032207,0.339481993
68,0.707676683,6.910524133,0.00275,0.006623372,0.487445022
69,1.289929446,5.287001399,0.00275,0.006837211,0.534665314
70,0.804784286,9.376141442,0.00275,0.005964033,0.320532256
71,1.234112992,6.541735844,0.00275,0.006398095,0.434284732
72,0.196278741,9.044925021,0.00275,0.006197747,0.383760463
73,0.198719974,8.085837725,0.00275,0.006525294,0.464752039
74,1.104018232,5.245099307,0.00275,0.007138707,0.596436084
75,0.54885361,8.336984704,0.00275,0.006229876,0.39208155
76,0.234055559,8.646852,0.00275,0.006288734,0.407104849
77,1.266777614,4.819852006,0.00275,0.007152591,0.599155266
78,0.481224048,8.772622744,0.00275,0.006154296,0.372368807
79,1.027353223,7.726961744,0.00275,0.006189841,0.381699731
